b_num,name,ticker,capiq_id,sic_code
B135447,CVS Health Corporation (NYSE:CVS),NYSE:CVS,IQ93625,5912
B139017,"D.R. Horton, Inc. (NYSE:DHI)",NYSE:DHI,IQ107405,1531
B124721,Danaher Corporation (NYSE:DHR),NYSE:DHR,IQ265621,3826
B138048,"Darden Restaurants, Inc. (NYSE:DRI)",NYSE:DRI,IQ336160,5812
B105245,DaVita Inc. (NYSE:DVA),NYSE:DVA,IQ35644,8090
B141648,Deere & Company (NYSE:DE),NYSE:DE,IQ266112,3523
B132030,"Delta Air Lines, Inc. (NYSE:DAL)",NYSE:DAL,IQ266311,4512
B131697,DENTSPLY SIRONA Inc. (NasdaqGS:XRAY),NasdaqGS:XRAY,IQ27504,3843
B141802,Devon Energy Corporation (NYSE:DVN),NYSE:DVN,IQ266510,1311
B176178,"DexCom, Inc. (NasdaqGS:DXCM)",NasdaqGS:DXCM,IQ114039,3845
B130197,"Diamondback Energy, Inc. (NasdaqGS:FANG)",NasdaqGS:FANG,IQ170245760,1311
B131918,"Digital Realty Trust, Inc. (NYSE:DLR)",NYSE:DLR,IQ11041860,6798
B131101,Discover Financial Services (NYSE:DFS),NYSE:DFS,IQ3695566,6141
B137750,"Discovery, Inc. (NasdaqGS:DISC.A)",NasdaqGS:DISC.A,IQ22666093,4841
B129765,DISH Network Corporation (NasdaqGS:DISH),NasdaqGS:DISH,IQ110001,4841
B144354,Dollar General Corporation (NYSE:DG),NYSE:DG,IQ266974,5331
B136436,"Dollar Tree, Inc. (NasdaqGS:DLTR)",NasdaqGS:DLTR,IQ27685,5331
B171829,"Dominion Energy, Inc. (NYSE:D)",NYSE:D,IQ267105,4911
B119353,"Domino's Pizza, Inc. (NYSE:DPZ)",NYSE:DPZ,IQ3132512,5812
B143910,Dover Corporation (NYSE:DOV),NYSE:DOV,IQ174901,3585
B123410,Dow Inc. (NYSE:DOW),NYSE:DOW,IQ9830660,2821
B134182,DTE Energy Company (NYSE:DTE),NYSE:DTE,IQ266598,4931
B130346,Duke Energy Corporation (NYSE:DUK),NYSE:DUK,IQ267850,4931
B132813,Duke Realty Corporation (NYSE:DRE),NYSE:DRE,IQ267906,6798
B139335,"DuPont de Nemours, Inc. (NYSE:DD)",NYSE:DD,IQ768440,2800
B141209,DXC Technology Company (NYSE:DXC),NYSE:DXC,IQ263093,7370
B141094,"E*TRADE Financial, LLC (NasdaqGS:ETFC)",NasdaqGS:ETFC,IQ27807,6211
B144692,Eastman Chemical Company (NYSE:EMN),NYSE:EMN,IQ109103,2821
B144067,Eaton Corporation plc (NYSE:ETN),NYSE:ETN,IQ175265,3620
B142460,eBay Inc. (NasdaqGS:EBAY),NasdaqGS:EBAY,IQ27862,7370
B140707,Ecolab Inc. (NYSE:ECL),NYSE:ECL,IQ268799,2842
B138438,Edison International (NYSE:EIX),NYSE:EIX,IQ301891,4911
B118730,Edwards Lifesciences Corporation (NYSE:EW),NYSE:EW,IQ411220,3842
B132448,Electronic Arts Inc. (NasdaqGS:EA),NasdaqGS:EA,IQ27963,7372
B113247,Eli Lilly and Company (NYSE:LLY),NYSE:LLY,IQ285467,2834
B137868,Emerson Electric Co. (NYSE:EMR),NYSE:EMR,IQ269231,3823
B132455,Entergy Corporation (NYSE:ETR),NYSE:ETR,IQ269764,4911
B131074,"EOG Resources, Inc. (NYSE:EOG)",NYSE:EOG,IQ269660,1311
B137862,Equifax Inc. (NYSE:EFX),NYSE:EFX,IQ175749,7323
B131774,"Equinix, Inc. (REIT) (NasdaqGS:EQIX)",NasdaqGS:EQIX,IQ28202,6798
B134832,Equity Residential (NYSE:EQR),NYSE:EQR,IQ28209,6798
B131914,"Essex Property Trust, Inc. (NYSE:ESS)",NYSE:ESS,IQ332646,6798
B135305,"Etsy, Inc. (NasdaqGS:ETSY)",NasdaqGS:ETSY,IQ28492682,7370
B123670,"Everest Re Group, Ltd. (NYSE:RE)",NYSE:RE,IQ340813,6331
B131205,"Evergy, Inc. (NYSE:EVRG)",NYSE:EVRG,IQ283024,4931
B132442,Eversource Energy (NYSE:ES),NYSE:ES,IQ292525,4931
B131329,Exelon Corporation (NasdaqGS:EXC),NasdaqGS:EXC,IQ296181,4911
B176268,"Expedia Group, Inc. (NasdaqGS:EXPE)",NasdaqGS:EXPE,IQ25915843,4700
B137814,"Expeditors International of Washington, Inc. (NasdaqGS:EXPD)",NasdaqGS:EXPD,IQ270071,4731
B145125,Extra Space Storage Inc. (NYSE:EXR),NYSE:EXR,IQ8057672,6798
B143391,Exxon Mobil Corporation (NYSE:XOM),NYSE:XOM,IQ406338,2911
B138043,"F5 Networks, Inc. (NasdaqGS:FFIV)",NasdaqGS:FFIV,IQ90323,7373
B181379,"Facebook, Inc. (NasdaqGS:FB)",NasdaqGS:FB,IQ20765463,7370
B137737,Fastenal Company (NasdaqGS:FAST),NasdaqGS:FAST,IQ270747,5000
B138402,Federal Realty Investment Trust (NYSE:FRT),NYSE:FRT,IQ271305,6798
B137730,FedEx Corporation (NYSE:FDX),NYSE:FDX,IQ124423,4513
B091974,"Fidelity National Information Services, Inc. (NYSE:FIS)",NYSE:FIS,IQ10081196,7374
B176184,Fifth Third Bancorp (NasdaqGS:FITB),NasdaqGS:FITB,IQ270961,6020
B140627,First Republic Bank (NYSE:FRC),NYSE:FRC,IQ272383,6020
B135748,FirstEnergy Corp. (NYSE:FE),NYSE:FE,IQ293515,4911
B144779,"Fiserv, Inc. (NasdaqGS:FISV)",NasdaqGS:FISV,IQ128209,7374
B135755,"FLEETCOR Technologies, Inc. (NYSE:FLT)",NYSE:FLT,IQ28756,7374
B131579,"FLIR Systems, Inc. (NasdaqGS:FLIR)",NasdaqGS:FLIR,IQ327408,3812
B123479,Flowserve Corporation (NYSE:FLS),NYSE:FLS,IQ267555,3561
B144436,FMC Corporation (NYSE:FMC),NYSE:FMC,IQ28606,2870
B132152,Ford Motor Company (NYSE:F),NYSE:F,IQ106335,3711
B131222,"Fortinet, Inc. (NasdaqGS:FTNT)",NasdaqGS:FTNT,IQ2689126,3577
B143267,Fortive Corporation (NYSE:FTV),NYSE:FTV,IQ318505463,3829
B144691,"Fortune Brands Home & Security, Inc. (NYSE:FBHS)",NYSE:FBHS,IQ33174798,2430
B117178,Fox Corporation (NasdaqGS:FOXA),NasdaqGS:FOXA,IQ546623668,4833
B131795,"Franklin Resources, Inc. (NYSE:BEN)",NYSE:BEN,IQ28703,6282
B131837,Freeport-McMoRan Inc. (NYSE:FCX),NYSE:FCX,IQ273607,1000
B141260,Garmin Ltd. (NasdaqGS:GRMN),NasdaqGS:GRMN,IQ598655,3812
B117184,"Gartner, Inc. (NYSE:IT)",NYSE:IT,IQ130705,8700
B131016,General Dynamics Corporation (NYSE:GD),NYSE:GD,IQ274561,3721
B113345,General Electric Company (NYSE:GE),NYSE:GE,IQ177031,9997
B111279,"General Mills, Inc. (NYSE:GIS)",NYSE:GIS,IQ274715,2040
B132145,General Motors Company (NYSE:GM),NYSE:GM,IQ61206100,3711
B111248,Genuine Parts Company (NYSE:GPC),NYSE:GPC,IQ275034,5013
B138080,"Gilead Sciences, Inc. (NasdaqGS:GILD)",NasdaqGS:GILD,IQ29002,2836
B143688,Global Payments Inc. (NYSE:GPN),NYSE:GPN,IQ813574,7374
B141932,Globe Life Inc. (NYSE:GL),NYSE:GL,IQ308916,6311
B135943,Halliburton Company (NYSE:HAL),NYSE:HAL,IQ177698,1389
B140829,Hanesbrands Inc. (NYSE:HBI),NYSE:HBI,IQ4212820,2300
B142533,"Hasbro, Inc. (NasdaqGS:HAS)",NasdaqGS:HAS,IQ277746,3944
B144135,"HCA Healthcare, Inc. (NYSE:HCA)",NYSE:HCA,IQ261825,8062
B145294,"Healthpeak Properties, Inc. (NYSE:PEAK)",NYSE:PEAK,IQ277966,6798
B139161,"Henry Schein, Inc. (NasdaqGS:HSIC)",NasdaqGS:HSIC,IQ339447,5047
B143978,Hess Corporation (NYSE:HES),NYSE:HES,IQ249841,1311
B138737,Hewlett Packard Enterprise Company (NYSE:HPE),NYSE:HPE,IQ273983758,3571
B132427,Hilton Worldwide Holdings Inc. (NYSE:HLT),NYSE:HLT,IQ29470,7011
B130977,HollyFrontier Corporation (NYSE:HFC),NYSE:HFC,IQ178254,2911
B143198,"Hologic, Inc. (NasdaqGS:HOLX)",NasdaqGS:HOLX,IQ108544,3844
B141210,Honeywell International Inc. (NYSE:HON),NYSE:HON,IQ1340740,9997
B143650,Hormel Foods Corporation (NYSE:HRL),NYSE:HRL,IQ279042,2011
B123482,"Host Hotels & Resorts, Inc. (NYSE:HST)",NYSE:HST,IQ29574,6798
B133026,Howmet Aerospace Inc. (NYSE:HWM),NYSE:HWM,IQ416264458,3720
B130499,HP Inc. (NYSE:HPQ),NYSE:HPQ,IQ108856,3570
B129662,Humana Inc. (NYSE:HUM),NYSE:HUM,IQ29618,6324
B132734,Huntington Bancshares Incorporated (NasdaqGS:HBAN),NasdaqGS:HBAN,IQ278614,6020
B125479,"Huntington Ingalls Industries, Inc. (NYSE:HII)",NYSE:HII,IQ363263,3730
B143428,IDEX Corporation (NYSE:IEX),NYSE:IEX,IQ29728,3561
B130890,"IDEXX Laboratories, Inc. (NasdaqGS:IDXX)",NasdaqGS:IDXX,IQ29729,2835
B137800,IHS Markit Ltd. (NYSE:INFO),NYSE:INFO,IQ13651733,7370
B144392,Illinois Tool Works Inc. (NYSE:ITW),NYSE:ITW,IQ280561,3560
B129192,"Illumina, Inc. (NasdaqGS:ILMN)",NasdaqGS:ILMN,IQ29753,3826
B123763,Incyte Corporation (NasdaqGS:INCY),NasdaqGS:INCY,IQ332954,2836
B130409,Ingersoll Rand Inc. (NYSE:IR),NYSE:IR,IQ334158,3560
B176084,Intel Corporation (NasdaqGS:INTC),NasdaqGS:INTC,IQ21127,3674
B123422,"Intercontinental Exchange, Inc. (NYSE:ICE)",NYSE:ICE,IQ1081952,6200
B143961,International Business Machines Corporation (NYSE:IBM),NYSE:IBM,IQ112350,7370
B142263,International Flavors & Fragrances Inc. (NYSE:IFF),NYSE:IFF,IQ281407,2860
B144192,International Paper Company (NYSE:IP),NYSE:IP,IQ61036,2631
B130196,Intuit Inc. (NasdaqGS:INTU),NasdaqGS:INTU,IQ21171,7372
B143264,"Intuitive Surgical, Inc. (NasdaqGS:ISRG)",NasdaqGS:ISRG,IQ30239,3845
B143423,Invesco Ltd. (NYSE:IVZ),NYSE:IVZ,IQ384779,6282
B137771,IPG Photonics Corporation (NasdaqGS:IPGP),NasdaqGS:IPGP,IQ427949,3674
B143445,IQVIA Holdings Inc. (NYSE:IQV),NYSE:IQV,IQ137473239,8731
B178833,Iron Mountain Incorporated (NYSE:IRM),NYSE:IRM,IQ30292,6798
B143845,"J.B. Hunt Transport Services, Inc. (NasdaqGS:JBHT)",NasdaqGS:JBHT,IQ278576,4213
B135374,"Jack Henry & Associates, Inc. (NasdaqGS:JKHY)",NasdaqGS:JKHY,IQ277617,7373
B137717,Jacobs Engineering Group Inc. (NYSE:J),NYSE:J,IQ282159,1600
B141292,Johnson & Johnson (NYSE:JNJ),NYSE:JNJ,IQ139677,2834
B141293,Johnson Controls International plc (NYSE:JCI),NYSE:JCI,IQ282590,3585
B143863,JPMorgan Chase & Co. (NYSE:JPM),NYSE:JPM,IQ658776,6020
B137704,"Juniper Networks, Inc. (NYSE:JNPR)",NYSE:JNPR,IQ30439,3576
B143888,Kansas City Southern (NYSE:KSU),NYSE:KSU,IQ30472,4011
B142374,Kellogg Company (NYSE:K),NYSE:K,IQ283356,2040
B117181,KeyCorp (NYSE:KEY),NYSE:KEY,IQ329376,6020
B141625,"Keysight Technologies, Inc. (NYSE:KEYS)",NYSE:KEYS,IQ247017859,3825
B123456,Nike,NYSE:NKE,IQ291981,
